-desc,date,temp_c,text,icon,wind_mph,wind_degree,wind_dir,pressure_mb,precip_mm,precip_in,humidity,cloud,feelslike_c,vis_miles,uv,gust_mph,gb-defra-index,headache_severity
avrgData,21/02/2022 13:30,11,Mist,http://cdn.weatherapi.com/weather/64x64/day/143.png,33.6,280,W,1021,0,0,62,50,6.9,6,3,35.3,1,0
avrgData,21/02/2022 14:30,11,Mist,http://cdn.weatherapi.com/weather/64x64/day/143.png,31.1,280,W,1022,0,0,62,50,6.9,6,3,34.2,1,0
avrgData,21/02/2022 15:15,11,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/day/116.png,26.6,290,WNW,1023,0,0,71,50,7.1,6,4,32,1,0
avrgData,21/02/2022 16:15,10,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/day/116.png,23,290,WNW,1023,0,0,71,75,6,6,4,28.9,1,0
avrgData,21/02/2022 17:15,10,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/day/116.png,20.6,280,W,1023,0,0,71,75,6.2,6,3,25.7,1,0
avrgData,21/02/2022 18:30,9,Mist,http://cdn.weatherapi.com/weather/64x64/night/143.png,10.5,250,WSW,1024,0,0,81,75,5.1,5,3,24.6,1,0
avrgData,21/02/2022 19:30,10,Mist,http://cdn.weatherapi.com/weather/64x64/night/143.png,10.5,260,W,1024,0,0,82,50,6.7,4,1,25.7,1,0
avrgData,21/02/2022 20:30,10,Mist,http://cdn.weatherapi.com/weather/64x64/night/143.png,11.9,260,W,1025,0,0,82,50,7,4,1,22.1,1,0
avrgData,21/02/2022 21:30,10,Mist,http://cdn.weatherapi.com/weather/64x64/night/143.png,10.5,240,WSW,1024,0,0,87,75,7.5,3,1,19.2,1,0
avrgData,21/02/2022 22:30,10,Mist,http://cdn.weatherapi.com/weather/64x64/night/143.png,9.4,230,SW,1025,0,0,94,75,7.7,2,1,15.4,1,0
avrgData,21/02/2022 23:15,10,Mist,http://cdn.weatherapi.com/weather/64x64/night/143.png,11.9,240,WSW,1024,0,0,100,100,7.8,2,1,14.5,1,0
avrgData,22/02/2022 00:15,10,Mist,http://cdn.weatherapi.com/weather/64x64/night/143.png,11.9,240,WSW,1024,0.1,0,100,100,7.2,2,1,21.5,1,0
avrgData,22/02/2022 01:30,10,Mist,http://cdn.weatherapi.com/weather/64x64/night/143.png,13.6,240,WSW,1023,0.1,0,100,100,7.2,1,1,21.5,1,0
avrgData,22/02/2022 02:15,10,Mist,http://cdn.weatherapi.com/weather/64x64/night/143.png,12.5,240,WSW,1023,0,0,100,100,7.1,1,1,22.6,1,0
avrgData,22/02/2022 03:30,11,Fog,http://cdn.weatherapi.com/weather/64x64/night/248.png,13.6,240,WSW,1023,0,0,94,100,8.1,0,1,24.6,1,0
avrgData,22/02/2022 04:30,11,Overcast,http://cdn.weatherapi.com/weather/64x64/night/122.png,15,240,WSW,1022,0.1,0,94,100,8.2,1,1,23.5,1,0
avrgData,22/02/2022 05:15,10,Mist,http://cdn.weatherapi.com/weather/64x64/night/143.png,12.5,230,SW,1021,0,0,100,100,6.7,1,1,26.4,1,0
avrgData,22/02/2022 06:30,10,Mist,http://cdn.weatherapi.com/weather/64x64/night/143.png,12.5,230,SW,1021,0,0,100,100,6.5,1,1,29.5,1,0
avrgData,22/02/2022 07:15,10,Moderate rain at times,http://cdn.weatherapi.com/weather/64x64/day/299.png,19.2,230,SW,1020,0.2,0.01,100,50,6.5,3,1,30.4,1,0
avrgData,22/02/2022 08:15,11,Moderate rain,http://cdn.weatherapi.com/weather/64x64/day/302.png,20.6,230,SW,1020,0,0,94,50,7.7,6,1,31.1,1,0
mornData,22/02/2022 08:45,11,Moderate rain at times,http://cdn.weatherapi.com/weather/64x64/day/299.png,23,230,SW,1020,0,0,87,50,7.7,4,1,31.1,1,7
avrgData,22/02/2022 09:15,11,Moderate rain at times,http://cdn.weatherapi.com/weather/64x64/day/299.png,23,230,SW,1020,0,0,94,50,7.6,4,4,32.7,1,0
avrgData,22/02/2022 10:15,10,Light rain,http://cdn.weatherapi.com/weather/64x64/day/296.png,25.5,240,WSW,1020,0,0,100,75,6.3,0,4,30.6,1,0
avrgData,22/02/2022 11:15,11,Moderate rain at times,http://cdn.weatherapi.com/weather/64x64/day/299.png,27.3,250,WSW,1020,0,0,100,50,7.5,4,3,30.2,1,0
avrgData,22/02/2022 12:30,12,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/day/116.png,20.6,270,W,1021,0,0,82,50,8.8,6,3,29.8,1,0
avrgData,22/02/2022 13:15,12,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/day/116.png,25.5,280,W,1022,0,0,71,50,9,6,4,26.2,1,0
avrgData,22/02/2022 14:15,11,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/day/116.png,25.5,300,WNW,1022,0.1,0,76,50,7.5,6,3,25.7,1,0
avrgData,22/02/2022 15:15,10,Overcast,http://cdn.weatherapi.com/weather/64x64/day/122.png,24.2,290,WNW,1023,0,0,76,50,6.2,5,4,26.2,1,0
avrgData,22/02/2022 16:30,10,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/day/116.png,20.6,280,W,1023,0.1,0,66,50,6.3,6,3,24.2,1,0
avrgData,22/02/2022 17:15,10,Mist,http://cdn.weatherapi.com/weather/64x64/day/143.png,19.2,280,W,1023,0,0,66,50,6.5,5,4,21.9,1,0
avrgData,22/02/2022 18:15,9,Mist,http://cdn.weatherapi.com/weather/64x64/night/143.png,13.6,270,W,1024,0,0,76,50,5.4,5,3,20.1,1,0
avrgData,22/02/2022 19:15,8,Mist,http://cdn.weatherapi.com/weather/64x64/night/143.png,5.6,260,W,1025,0,0,76,50,4.5,5,1,17.9,1,0
avrgData,22/02/2022 20:30,7,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/night/116.png,5.6,270,W,1026,0,0,81,50,3.4,6,1,15.7,1,0
avrgData,22/02/2022 21:30,7,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/night/116.png,5.6,250,WSW,1026,0,0,81,50,3.7,6,1,19.9,1,0
avrgData,22/02/2022 22:15,7,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/night/116.png,4.3,250,WSW,1026,0,0,87,50,3.9,6,1,18.6,1,0
avrgData,22/02/2022 23:30,7,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/night/116.png,4.3,270,W,1026,0,0,87,50,4.4,6,1,15.2,1,0
avrgData,23/02/2022 00:15,8,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/night/116.png,8.1,250,WSW,1026,0,0,87,25,6.1,6,1,13,1,0
avrgData,23/02/2022 01:15,7,Mist,http://cdn.weatherapi.com/weather/64x64/night/143.png,4.3,250,WSW,1026,0,0,93,25,4.9,5,1,13,1,0
avrgData,23/02/2022 02:30,8,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/night/116.png,8.1,250,WSW,1026,0,0,87,50,6.2,6,1,13,1,0
avrgData,23/02/2022 03:15,8,Clear,http://cdn.weatherapi.com/weather/64x64/night/113.png,6.9,240,WSW,1026,0,0,87,0,6,6,1,14.1,1,0
avrgData,23/02/2022 04:30,7,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/night/116.png,5.6,230,SW,1025,0,0,87,50,4.6,6,1,16.1,1,0
avrgData,23/02/2022 05:15,8,Clear,http://cdn.weatherapi.com/weather/64x64/night/113.png,8.1,230,SW,1025,0,0,87,0,5.7,6,1,16.8,1,0
avrgData,23/02/2022 06:30,9,Light rain,http://cdn.weatherapi.com/weather/64x64/night/296.png,6.9,240,WSW,1024,0,0,87,75,6.6,6,1,16.8,1,0
avrgData,23/02/2022 07:30,9,Light rain,http://cdn.weatherapi.com/weather/64x64/day/296.png,8.1,220,SW,1024,0.1,0,81,50,6.3,6,1,18.1,1,0
avrgData,23/02/2022 08:30,9,Light rain,http://cdn.weatherapi.com/weather/64x64/day/296.png,11.9,200,SSW,1024,0,0,76,50,6.4,6,1,17,1,0
mornData,23/02/2022 08:00,9,Light rain,http://cdn.weatherapi.com/weather/64x64/day/296.png,11.9,210,SSW,1024,0,0,76,50,6.4,6,2,16.8,1,0
avrgData,23/02/2022 09:15,8,Light rain,http://cdn.weatherapi.com/weather/64x64/day/296.png,15,250,WSW,1024,0,0,87,50,5.1,6,2,16.8,1,0
avrgData,23/02/2022 10:30,9,Light rain,http://cdn.weatherapi.com/weather/64x64/day/296.png,12.5,220,SW,1023,0,0,87,50,6.1,6,2,17.7,1,0
avrgData,23/02/2022 11:30,8,Light rain,http://cdn.weatherapi.com/weather/64x64/day/296.png,18.6,250,WSW,1023,0,0,93,100,4.6,1,2,19.5,1,0
avrgData,23/02/2022 12:30,10,Light rain shower,http://cdn.weatherapi.com/weather/64x64/day/353.png,13.6,220,SW,1022,0,0,87,75,7.1,6,4,17.4,1,0
avrgData,23/02/2022 13:30,9,Light rain shower,http://cdn.weatherapi.com/weather/64x64/day/353.png,19.2,220,SW,1021,0.1,0,87,75,5.6,6,3,18.3,1,0
avrgData,23/02/2022 14:30,10,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/day/116.png,16.1,220,SW,1020,0,0,76,75,6.8,6,4,19.5,1,0
avrgData,23/02/2022 15:15,10,Light rain,http://cdn.weatherapi.com/weather/64x64/day/296.png,20.6,230,SW,1019,0,0,76,75,6.7,6,3,20.8,1,0
avrgData,23/02/2022 16:30,10,Light rain,http://cdn.weatherapi.com/weather/64x64/day/296.png,20.6,230,SW,1019,0,0,76,75,6.7,6,3,21.9,1,0
avrgData,23/02/2022 17:30,9,Light rain shower,http://cdn.weatherapi.com/weather/64x64/day/353.png,19.2,230,SW,1018,0,0,87,75,5.4,6,3,22.6,1,0
avrgData,23/02/2022 18:30,9,Light rain shower,http://cdn.weatherapi.com/weather/64x64/night/353.png,18.6,220,SW,1018,0,0,87,75,5.4,6,2,24.2,1,0
avrgData,23/02/2022 19:15,9,Light rain,http://cdn.weatherapi.com/weather/64x64/night/296.png,20.6,230,SW,1018,0,0,87,75,5.4,6,1,24.2,1,0
avrgData,23/02/2022 20:15,9,Light rain,http://cdn.weatherapi.com/weather/64x64/night/296.png,19.2,230,SW,1017,0,0,93,75,5.3,6,1,23.7,1,0
avrgData,23/02/2022 21:30,9,Light rain,http://cdn.weatherapi.com/weather/64x64/night/296.png,19.2,230,SW,1016,0,0,93,75,5.3,6,1,28.2,1,0
avrgData,23/02/2022 22:30,10,Light rain,http://cdn.weatherapi.com/weather/64x64/night/296.png,23,230,SW,1016,0,0,87,75,6.6,6,1,28.2,1,0
avrgData,23/02/2022 23:30,10,Light rain,http://cdn.weatherapi.com/weather/64x64/night/296.png,24.2,230,SW,1015,0,0,87,75,6.5,6,1,28.4,1,0
avrgData,24/02/2022 00:30,10,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/night/116.png,18.6,230,SW,1014,0,0,94,75,6.4,6,1,30,1,0
avrgData,24/02/2022 01:15,10,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/night/116.png,18.6,230,SW,1013,0,0,94,50,6.4,6,1,30,1,0
avrgData,24/02/2022 02:30,10,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/night/116.png,20.6,230,SW,1012,0.2,0.01,87,75,6.4,6,1,29.1,1,0
avrgData,24/02/2022 03:30,10,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/night/116.png,17.4,230,SW,1011,0.2,0.01,87,75,6.4,6,1,29.5,1,0
avrgData,24/02/2022 04:30,8,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/night/116.png,16.1,250,WSW,1011,0.6,0.02,93,75,4.3,6,1,22.6,1,0
avrgData,24/02/2022 05:15,8,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/night/116.png,18.6,250,WSW,1010,0.2,0.01,81,75,4.3,6,1,23.7,1,0
avrgData,24/02/2022 06:30,5,Overcast,http://cdn.weatherapi.com/weather/64x64/night/122.png,24.2,280,W,1011,0.3,0.01,93,75,-0.6,1,1,32,1,0
avrgData,24/02/2022 07:15,6,Light rain,http://cdn.weatherapi.com/weather/64x64/day/296.png,19.2,260,W,1011,2.7,0.11,87,50,0.5,6,1,34.7,1,0
avrgData,24/02/2022 08:15,5,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/day/116.png,23,280,W,1012,0.2,0.01,87,50,-0.7,6,1,37.8,1,0
mornData,24/02/2022 08:00,5,Overcast,http://cdn.weatherapi.com/weather/64x64/day/122.png,31.1,270,W,1013,0.2,0.01,81,50,-1.2,6,1,42.1,1,0
avrgData,24/02/2022 09:30,5,Overcast,http://cdn.weatherapi.com/weather/64x64/day/122.png,31.1,270,W,1013,0.2,0.01,81,50,-1.2,6,1,42.1,1,0
avrgData,24/02/2022 10:30,2,Light snow,http://cdn.weatherapi.com/weather/64x64/day/326.png,29.8,290,WNW,1015,0.5,0.02,93,50,-5.2,2,2,41.6,1,0
avrgData,24/02/2022 11:15,6,Overcast,http://cdn.weatherapi.com/weather/64x64/day/122.png,31.1,280,W,1015,0.2,0.01,65,50,0.2,6,2,39.8,1,0
avrgData,24/02/2022 12:30,6,Overcast,http://cdn.weatherapi.com/weather/64x64/day/122.png,23,260,W,1016,0.2,0.01,75,50,0.3,6,2,36.2,1,0
avrgData,24/02/2022 13:30,7,Moderate or heavy snow showers,http://cdn.weatherapi.com/weather/64x64/day/371.png,25.5,280,W,1017,1.1,0.04,61,50,1.7,6,2,37.4,1,0
avrgData,24/02/2022 14:30,7,Moderate rain,http://cdn.weatherapi.com/weather/64x64/day/302.png,27.3,270,W,1017,0.1,0,57,50,1.9,6,2,29.8,1,0
avrgData,24/02/2022 15:30,5,Moderate or heavy snow showers,http://cdn.weatherapi.com/weather/64x64/day/371.png,19.2,260,W,1018,0.1,0,81,50,-0.6,6,2,28.2,1,0
avrgData,24/02/2022 16:30,7,Moderate rain,http://cdn.weatherapi.com/weather/64x64/day/302.png,24.2,260,W,1018,0.3,0.01,66,50,2.3,6,2,26.2,1,0
avrgData,24/02/2022 17:30,6,Moderate or heavy rain shower,http://cdn.weatherapi.com/weather/64x64/day/356.png,24.2,260,W,1019,0.1,0,65,50,0.8,6,2,29.3,1,0
avrgData,24/02/2022 18:30,4,Moderate rain,http://cdn.weatherapi.com/weather/64x64/night/302.png,13.6,270,W,1020,0.1,0,81,50,-1.8,6,2,32,1,0
avrgData,24/02/2022 19:30,6,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/night/116.png,25.5,290,WNW,1020,0.7,0.03,65,25,1,6,1,31.8,1,0
avrgData,24/02/2022 20:15,5,Clear,http://cdn.weatherapi.com/weather/64x64/night/113.png,15,260,W,1021,0.2,0.01,81,0,-0.5,6,1,32,1,0
avrgData,24/02/2022 21:30,6,Clear,http://cdn.weatherapi.com/weather/64x64/night/113.png,15,280,W,1022,0.1,0,70,0,0.9,6,1,34.2,1,0
avrgData,24/02/2022 22:15,6,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/night/116.png,12.5,260,W,1022,0.4,0.02,81,50,1.1,6,1,31.3,1,0
avrgData,24/02/2022 23:30,6,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/night/116.png,11.9,270,W,1023,0.1,0,75,25,1,6,1,32.4,1,0
avrgData,25/02/2022 00:30,6,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/night/116.png,8.1,250,WSW,1024,0.4,0.02,75,25,1.2,6,1,31.1,1,0
avrgData,25/02/2022 01:30,6,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/night/116.png,6.9,250,WSW,1024,0.4,0.02,75,25,1.2,6,1,31.1,1,0
avrgData,25/02/2022 02:30,6,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/night/116.png,6.9,250,WSW,1025,0,0,75,25,1.1,6,1,32,1,0
avrgData,25/02/2022 03:30,5,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/night/116.png,5.6,250,WSW,1025,0,0,75,25,-0.1,6,1,30.6,1,0
avrgData,25/02/2022 04:30,5,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/night/116.png,4.3,240,WSW,1025,0,0,75,25,0,6,1,29.1,1,0
avrgData,25/02/2022 05:30,6,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/night/116.png,4.3,250,WSW,1026,0,0,75,75,1.7,6,1,26.6,1,0
avrgData,25/02/2022 06:30,6,Light rain,http://cdn.weatherapi.com/weather/64x64/night/296.png,6.9,250,WSW,1026,0,0,81,25,1.9,6,1,24.6,1,0
avrgData,25/02/2022 07:30,6,Light rain,http://cdn.weatherapi.com/weather/64x64/day/296.png,6.9,250,WSW,1027,0,0,81,50,2.2,6,1,22.6,1,0
avrgData,25/02/2022 08:15,6,Light rain,http://cdn.weatherapi.com/weather/64x64/day/296.png,4.3,290,WNW,1028,0,0,75,50,2.7,6,1,19.5,1,0
mornData,25/02/2022 08:45,6,Light rain,http://cdn.weatherapi.com/weather/64x64/day/296.png,2.5,320,NW,1028,0,0,81,50,2.7,6,1,19.5,1,8
avrgData,25/02/2022 09:30,7,Light rain,http://cdn.weatherapi.com/weather/64x64/day/296.png,4.3,270,W,1029,0,0,76,50,4.1,6,3,17.7,1,0
avrgData,25/02/2022 10:30,9,Light rain,http://cdn.weatherapi.com/weather/64x64/day/296.png,11.9,270,W,1030,0,0,71,50,6.7,6,3,13,1,0
avrgData,25/02/2022 11:30,9,Light rain,http://cdn.weatherapi.com/weather/64x64/day/296.png,12.5,280,W,1030,0,0,71,75,6.4,6,3,13.9,1,0
avrgData,25/02/2022 12:30,9,Light rain,http://cdn.weatherapi.com/weather/64x64/day/296.png,12.5,310,NW,1030,0,0,62,50,6.5,6,3,12.1,1,0
avrgData,25/02/2022 13:30,9,Light rain,http://cdn.weatherapi.com/weather/64x64/day/296.png,8.1,320,NW,1030,0,0,62,50,6.5,6,3,11.6,1,0
avrgData,25/02/2022 14:15,10,Light rain,http://cdn.weatherapi.com/weather/64x64/day/296.png,6.9,270,W,1030,0,0,66,50,7.9,6,4,10.7,1,0
avrgData,25/02/2022 15:30,10,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/day/116.png,9.4,230,SW,1030,0,0,66,75,8,6,4,10.3,1,0
avrgData,25/02/2022 16:15,10,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/day/116.png,9.4,230,SW,1030,0,0,71,75,8.1,6,4,9.6,1,0
avrgData,25/02/2022 17:30,10,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/day/116.png,6.9,250,WSW,1030,0,0,66,25,8.5,6,4,7.8,1,0
avrgData,25/02/2022 18:30,8,Clear,http://cdn.weatherapi.com/weather/64x64/night/113.png,4.3,250,WSW,1030,0,0,76,0,6.3,6,3,6.9,1,0
avrgData,25/02/2022 19:15,7,Clear,http://cdn.weatherapi.com/weather/64x64/night/113.png,1.3,180,S,1030,0,0,81,0,5.4,6,1,7.4,1,0
avrgData,25/02/2022 20:30,6,Clear,http://cdn.weatherapi.com/weather/64x64/night/113.png,1.3,110,ESE,1030,0,0,87,0,4.7,6,1,5.1,1,0
avrgData,25/02/2022 21:15,7,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/night/116.png,3.8,160,SSE,1030,0,0,87,50,5.5,6,1,10.1,1,0
avrgData,25/02/2022 22:30,6,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/night/116.png,3.8,130,SE,1030,0,0,87,25,4.1,6,1,11,1,0
avrgData,25/02/2022 23:30,6,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/night/116.png,4.3,130,SE,1030,0,0,87,25,4,6,1,11.4,1,0
avrgData,26/02/2022 00:15,7,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/night/116.png,4.3,140,SE,1030,0,0,87,50,4.9,6,1,13.2,1,0
avrgData,26/02/2022 01:30,6,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/night/116.png,4.3,160,SSE,1029,0,0,87,50,3.7,6,1,13.2,1,0
avrgData,26/02/2022 02:30,6,Clear,http://cdn.weatherapi.com/weather/64x64/night/113.png,5.6,160,SSE,1029,0,0,87,0,3.4,6,1,15,1,0
avrgData,26/02/2022 03:15,6,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/night/116.png,4.3,150,SSE,1028,0,0,87,25,3.3,6,1,16.1,1,0
avrgData,26/02/2022 04:15,7,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/night/116.png,6.9,150,SSE,1027,0,0,87,25,4.3,6,1,17.9,1,0
avrgData,26/02/2022 05:30,7,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/night/116.png,8.1,150,SSE,1027,0,0,81,25,4,6,1,19.7,1,0
avrgData,26/02/2022 06:30,7,Clear,http://cdn.weatherapi.com/weather/64x64/night/113.png,6.9,150,SSE,1026,0,0,81,0,3.7,6,1,21.9,1,0
avrgData,26/02/2022 07:15,7,Sunny,http://cdn.weatherapi.com/weather/64x64/day/113.png,8.1,150,SSE,1026,0,0,87,0,3.3,6,1,24.6,1,0
avrgData,26/02/2022 08:15,8,Sunny,http://cdn.weatherapi.com/weather/64x64/day/113.png,10.5,160,SSE,1026,0,0,81,0,4.5,6,1,25.5,1,0
mornData,26/02/2022 08:45,8,Sunny,http://cdn.weatherapi.com/weather/64x64/day/113.png,10.5,160,SSE,1026,0,0,81,0,4.5,6,1,25.5,1,0
avrgData,26/02/2022 09:30,9,Sunny,http://cdn.weatherapi.com/weather/64x64/day/113.png,11.9,150,SSE,1026,0,0,76,0,5.5,6,3,26.6,1,0
avrgData,26/02/2022 10:30,9,Sunny,http://cdn.weatherapi.com/weather/64x64/day/113.png,15,150,SSE,1025,0,0,71,0,5.4,6,3,24.6,1,0
avrgData,26/02/2022 11:30,10,Sunny,http://cdn.weatherapi.com/weather/64x64/day/113.png,17.4,150,SSE,1025,0,0,66,0,6.4,6,3,25.1,1,0
avrgData,26/02/2022 12:15,10,Sunny,http://cdn.weatherapi.com/weather/64x64/day/113.png,18.6,150,SSE,1024,0,0,58,0,6.3,6,3,24.6,1,0
avrgData,26/02/2022 13:15,10,Sunny,http://cdn.weatherapi.com/weather/64x64/day/113.png,17.4,160,SSE,1024,0,0,62,0,6.2,6,4,25.3,1,0
avrgData,26/02/2022 14:15,10,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/day/116.png,17.4,160,SSE,1023,0,0,66,25,6.2,6,4,25.5,1,0
avrgData,26/02/2022 15:15,10,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/day/116.png,12.5,130,SE,1022,0,0,71,25,6.2,6,4,25.3,1,0
avrgData,26/02/2022 16:15,10,Sunny,http://cdn.weatherapi.com/weather/64x64/day/113.png,11.9,120,ESE,1021,0,0,71,0,6.3,6,4,24.2,1,0
avrgData,26/02/2022 17:15,9,Sunny,http://cdn.weatherapi.com/weather/64x64/day/113.png,9.4,120,ESE,1020,0,0,71,0,5,6,4,24.4,1,0
avrgData,26/02/2022 18:30,8,Clear,http://cdn.weatherapi.com/weather/64x64/night/113.png,13.6,110,ESE,1020,0,0,76,0,3.6,6,4,25.3,1,0
avrgData,26/02/2022 19:30,8,Clear,http://cdn.weatherapi.com/weather/64x64/night/113.png,12.5,110,ESE,1019,0,0,81,0,3.5,6,1,25.9,1,0
avrgData,26/02/2022 20:15,8,Clear,http://cdn.weatherapi.com/weather/64x64/night/113.png,12.5,110,ESE,1019,0,0,76,0,3.4,6,1,27.3,1,0
avrgData,26/02/2022 21:30,9,Clear,http://cdn.weatherapi.com/weather/64x64/night/113.png,15,110,ESE,1018,0,0,71,0,4.7,6,1,36.2,1,0
avrgData,26/02/2022 22:15,9,Clear,http://cdn.weatherapi.com/weather/64x64/night/113.png,10.5,110,ESE,1019,0,0,66,0,4.7,6,1,35.6,1,0
avrgData,26/02/2022 23:30,9,Clear,http://cdn.weatherapi.com/weather/64x64/night/113.png,11.9,140,SE,1019,0,0,62,0,4.8,6,1,34.7,1,0
avrgData,27/02/2022 00:15,8,Clear,http://cdn.weatherapi.com/weather/64x64/night/113.png,12.5,150,SSE,1018,0,0,61,0,4,6,1,28,1,0
avrgData,27/02/2022 01:15,7,Clear,http://cdn.weatherapi.com/weather/64x64/night/113.png,9.4,140,SE,1018,0,0,66,0,2.7,6,1,28,1,0
avrgData,27/02/2022 02:30,7,Clear,http://cdn.weatherapi.com/weather/64x64/night/113.png,9.4,140,SE,1018,0,0,66,0,3.1,6,1,24.6,1,0
avrgData,27/02/2022 03:15,8,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/night/116.png,6.9,110,ESE,1017,0,0,66,50,4.4,6,1,24.6,1,0
avrgData,27/02/2022 04:30,8,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/night/116.png,6.9,110,ESE,1016,0,0,66,75,4.5,6,1,23.9,1,0
